target,user,text,cleaned_text
4,juliadrab,"@kthxilyxxx If you want, you shall ",if you want you shall
4,SillyBoy12,@Lance_Bass i'm good  saw you the other day on kathy griffin you look good!! hope ya ok ,im good saw you the other day on kathy griffin you look good hope ya ok
4,honeyhayes,P.s I sent that to your phone not sure if it's working or not though so I tweeted it also lol ,ps i sent that to your phone not sure if its working or not though so i tweeted it also lol
0,djbarnsy,Time is now standing still! ,time is now standing still
0,Georgiaa42,OMG I HAVE 42 UPDATES not inc this one  it is official this tweet will ruin it;; oh how i wish it could stay on 42 foreverrrrrr,omg i have updates not inc this one it is official this tweet will ruin it oh how i wish it could stay on foreverrrrrr
4,lamica06,Check this out: XBOX MERCEDEZ BENZ WORLD RACING GAME  http://bit.ly/ifRmP,check this out xbox mercedez benz world racing game
0,g_snow_white88,awww man worked a double shift and i'm done! ,awww man worked a double shift and im done
0,roxiijonas,and some letter about getting a new account with my bank. Its HUGE i cba to read it all  lmao,and some letter about getting a new account with my bank its huge i cba to read it all lmao
0,herekittykittee,@djhellayella I get a pack everytime I'm at Wally world except tonight  youshould see if your WM has some I'll be in Austin 2morrow,i get a pack everytime im at wally world except tonight youshould see if your wm has some ill be in austin morrow
4,ericford,"I'm really gonna miss the few friends I have out there, even if my goodbyes are never tearful. At least we always have gChat ",im really gonna miss the few friends i have out there even if my goodbyes are never tearful at least we always have gchat
4,ginny9577,@Helenszone omg i think i had that poster  hehehee,omg i think i had that poster hehehee
0,EricaRae_12,"@LyndseeRae I want one but I just caaaaaant! If I lived by myself, I'd take one fo sho  oh sad day...I want a kitty",i want one but i just caaaaaant if i lived by myself id take one fo sho oh sad dayi want a kitty
4,dhanyasn,Mom and dad have left fr Delhi... fr a week ,mom and dad have left fr delhi fr a week
4,djmetaverse,"@iamdiddy I havent heard you say LOCK IN yet today, that's my favorite phrase from you!Come on now! ",i havent heard you say lock in yet today thats my favorite phrase from youcome on now
0,sannimrod,sitting in a bus which is taking me for a week away from home.. ,sitting in a bus which is taking me for a week away from home
0,ArminTanzarian,Finally got my hard-drive up and working again. Trying to download the Jim Jarmusch collection to no avail ,finally got my hard drive up and working again trying to download the jim jarmusch collection to no avail
4,LolaAM,"@MsStaceyK Yeah, I can appreciate beauty...male, female, scenic....whatever ",yeah i can appreciate beautymale female scenicwhatever
4,whatmakesexpert,Tell Us? IN 140 Char @ImSoMiami86 Hey  I was thinking of buying a friend of mine g-shock s.. http://tinyurl.com/m5qhzs,tell us in char hey i was thinking of buying a friend of mine g shock s
4,Treefriend09,TONS of airsoft today ,tons of airsoft today
4,seanmhair,CBC  &quot;announcers &quot;2 Goal lead for the champs&quot; (as we head to TV timeout)  Nice   GO WINGS!  #redwings,cbc &quotannouncers &quot2 goal lead for the champs&quot as we head to tv timeout nice go wings
0,ElleEhh,@mileycyrus http://twitpic.com/78urd - Do you have a percing in the nose? I thought you were one of those sweet girl ... ,  do you have a percing in the nose i thought you were one of those sweet girl 
0,dabug911,"@kevshawn  for trying to not get you drunk! last time i try to help, fuck it we are getting wasted then!",for trying to not get you drunk last time i try to help fuck it we are getting wasted then
0,ChaseJordan,So yes the movie Taken I def top on our list of Great Movies! But man Human Trafficking sucks ,so yes the movie taken i def top on our list of great movies but man human trafficking sucks
4,MusicSnob75,@b_j_d around here things don't happen til after 11! ,around here things dont happen til after 
0,nerdywritergrl,@rainbowhigh   i love you!,i love you
4,pigglehumsey,@_stevewoods Good Day to EVERYONE to you too!  U sound chipper 2 day!  love ur enthusiasm!  ,good day to everyone to you too u sound chipper day love ur enthusiasm
0,JenJelly85,@kikimarie593 Aw sara that sucks about your computer ,aw sara that sucks about your computer
0,RealDani,@valentina_08  hey valentina!!!!  can you belive that i haven't my seventeen yet   ,hey valentina can you belive that i havent my seventeen yet
0,emmasingleee,i actually want to cry right now. i miss them so much ,i actually want to cry right now i miss them so much
0,DontStopTheRain,so tired ,so tired
4,_Lena_x3,@Roberta_bs When do you come to Germany ?  (Rewe Family),when do you come to germany  rewe family
4,Hannaahhx3,Katy Perry - thinking of you. lovely lovely song and lyrics  XxXx.,katy perry   thinking of you lovely lovely song and lyrics xxxx
4,CarolineTimm,Carolina Timm in Brasil-HI! your Twitter automatically updates MY facebook! Can you please disable that in your account settings? thanks! ,carolina timm in brasil hi your twitter automatically updates my facebook can you please disable that in your account settings thanks
4,DazzledBeader,@babyblankets Congrats on all the followers ,congrats on all the followers
0,xxmehlxx,so when u can live forever..what do u live for?♥ gooosh im so tired. its just SUNDAY in a few seconds huuuh ,so when u can live foreverwhat do u live for gooosh im so tired its just sunday in a few seconds huuuh
4,kelseyherold,@CBrazz  haha. thats cute. i used to be like that when i first started dating. then i realized it doesnt matter ,haha thats cute i used to be like that when i first started dating then i realized it doesnt matter
0,justinerm,Don't feel like waking up at 7 am tomorrow.  I suppose it's time for sleep. Night all. &lt;3,dont feel like waking up at am tomorrow i suppose its time for sleep night all &lt3
4,ColleenCoplick,@JulianEdward awww thx. ,awww thx
0,BoccKob,&quot;Approaching&quot; would have made more sense than &quot;appear&quot;. ,&quotapproaching&quot would have made more sense than &quotappear&quot
0,gameism,@ClickNothing Aw man that means that SC:CT isn't your new secret project   I take it Creative Ds at Ubi work on one game at a time?,aw man that means that scct isnt your new secret project i take it creative ds at ubi work on one game at a time
0,aishapotata,Doesn't wamt to go back to school tomorrow ,doesnt wamt to go back to school tomorrow
0,trilogybeats,my breakfast all over the floor. DOH!!! Had to go with plan B......ramen noodles and kool aid  ,my breakfast all over the floor doh had to go with plan bramen noodles and kool aid
0,n1k0,@hartym looks interesting but lot of 500 errors on the documentation website ,looks interesting but lot of errors on the documentation website
0,FQD1911,at work   somebody entertain me,at work somebody entertain me
0,mattmaloney,"@liamlager i did have an interest in it before i saw it, now i have i wish i hadn't ",i did have an interest in it before i saw it now i have i wish i hadnt
4,geniii,i really like when we talk ,i really like when we talk
4,katyaaa,"@symphnysldr really?! aww, well than i apologize in advance for anything odd or creepy i most likely WILL say ",really aww well than i apologize in advance for anything odd or creepy i most likely will say
0,Chamoola,@MsNaomie was that a threat??? Lol Yea 12 to 6 ,was that a threat lol yea to
0,comagirlx,Bradley and Stacey...over...!!!!!!!!!!!!!!!! ,bradley and staceyover
4,addictedx,@PhotoChick215 aww thank you  it made me feel better,aww thank you it made me feel better
0,safashiongirl,@italipina some new Polly dolls  http://bit.ly/oc8v7  Where are the little houses!?,some new polly dolls where are the little houses
4,maddyluna,"@totallyamazing Thanks  And I hope you feel better, too! &lt;3",thanks and i hope you feel better too &lt3
0,MattNowski,"is home. Hella HW to do tomorrow  Why do I procrastinate so much!?! Is getting over it, and moving on. I hope we can still be friends",is home hella hw to do tomorrow why do i procrastinate so much is getting over it and moving on i hope we can still be friends
0,pinklovah,Im gonna miss Ty when he leaves ,im gonna miss ty when he leaves
0,Shelleyhartle,@ryanmatchett excuse me.. I have been working late 2  thank baby Jesus for twitterfon and Chinese men!,excuse me i have been working late thank baby jesus for twitterfon and chinese men
4,tskii,@seanmurphymusic !!! i love your musicc  xoxo, i love your musicc xoxo
4,KazThomas,@Meerkat100 It is the strawberry season in the UK. We ought to buy veg + fruit when in season only ... Not all year round  Taste best!,it is the strawberry season in the uk we ought to buy veg + fruit when in season only  not all year round taste best
4,BreakingMeDown,"&quot;There's the Sears Tower, which will always be the Sears Tower, and there's Warner, who will always be Warner.&quot; ",&quottheres the sears tower which will always be the sears tower and theres warner who will always be warner&quot
4,KruemelDings,end of the conversation..bye ,end of the conversationbye
0,LaurenBDrake,at work with earcache  staring out the window at the sun  boo hoo hoo,at work with earcache staring out the window at the sun boo hoo hoo
4,shannnho,"McFly is my newest obsession - Down by the Lake &lt;33, watched JONAS last night it was hilarious ",mcfly is my newest obsession   down by the lake &lt33 watched jonas last night it was hilarious
4,Rullet,@ChipMunkFace lol i am kidden sweets u aint gotta explain ur self ,lol i am kidden sweets u aint gotta explain ur self
4,georginashy,"up, now going to do my pump it up work out ",up now going to do my pump it up work out
0,nicjones00,"Good morning all, off to work in abit. Been waiting for Iphone 3.0 software but still not out! ",good morning all off to work in abit been waiting for iphone software but still not out
4,darkuncle,@fleurdelis101 missed your @ reply; somebody convinced me to start using Last.FM again; check over there to see what I'm listening to ,missed your reply somebody convinced me to start using lastfm again check over there to see what im listening to
0,DJArsenalFX,writing an essay due in 24 hours....  any help at all would be extremely grateful and appreciated.,writing an essay due in hours any help at all would be extremely grateful and appreciated
4,fungg,Awesomeee Service with Pastor Lia!   N weiyin saves the night. Ha!,awesomeee service with pastor lia n weiyin saves the night ha
4,CynthiaY29,"Finally finished watching the first season of True Blood it was awesome, look forward to the next season.  Best show seen in awhile.",finally finished watching the first season of true blood it was awesome look forward to the next season best show seen in awhile
0,eysies,damnit got 2 tests tmrw  how am i supposed to study when robsten's been confirmed?!,damnit got tests tmrw how am i supposed to study when robstens been confirmed
4,ajcoo82,@MsTeenaMarie No worries!! This thing doesn't have spell check and it should. I'm sure no one minds a little tweeting mistake. hehehe ,no worries this thing doesnt have spell check and it should im sure no one minds a little tweeting mistake hehehe
0,Sarah5305,"im lonely  keep me company! 22 female, Fort Myers - Florida",im lonely keep me company female fort myers   florida
4,Homaniacx,owhhhh.  I miss him hell the lots man. ,owhhhh i miss him hell the lots man
4,DianaKappler,"@MissShoko_rdj Hi, yes it was me leaving those comments on YouTube, congrats on the videos, they are great and very enjoyable ",hi yes it was me leaving those comments on youtube congrats on the videos they are great and very enjoyable
4,emeraldjewels,http://twitpic.com/6m2uf - And a photo of him now asleep on the end of my bed ,  and a photo of him now asleep on the end of my bed
4,UniqueMakis,@blak4ever I'll sure try!!  It's gonna be my second @ddlovato concert in a little over a month! (I went to the one in Argentina on May 21),ill sure try its gonna be my second concert in a little over a month i went to the one in argentina on may 
0,spacsy, bad day 2day. Broken glasses  rainy weather  uof,bad day day broken glasses rainy weather uof
4,JannaAundrea,"@isisrae if you ever come back to NY, let me know! i live 20 mins. from the city! ",if you ever come back to ny let me know i live mins from the city
4,queen_v1,Problem resolved ,problem resolved
0,mexiana_76,"@RealRobPattz It's just what I said... a latin hot pocket.  Look when you get to a computer, I see you are using a phone   Yummy!",its just what i said a latin hot pocket look when you get to a computer i see you are using a phone yummy
4,michhh12,"@snapviashot oh gosh! School already?! Haha. It seems like you just got out! But seriously, we shall chat soon! ",oh gosh school already haha it seems like you just got out but seriously we shall chat soon
0,_Kaiya_,@msnette13 Oh...and we need an intervention for Meka! She's soooo down... not good. ,ohand we need an intervention for meka shes soooo down not good
4,mistical,Great times tonight in #CoD4 with gf @jordanriane and my buddies. Even cooler that my broadcast was homepaged on UFragTV. ,great times tonight in with gf and my buddies even cooler that my broadcast was homepaged on ufragtv
4,vaurhianyfbrina,"@jentikayu yes, I think the same way too ",yes i think the same way too
0,laname,@curly00315 Castiel rushed them away before I could ,castiel rushed them away before i could
4,OrenTodoros,"@irisush Hey, it's something every man should know. And so rare do  I think.",hey its something every man should know and so rare do i think
4,sharpiie,"fuck you school, im not coming tomorrow ",fuck you school im not coming tomorrow
0,HeatherShea,I drank too much and I'm sleepy already ,i drank too much and im sleepy already
4,kayasmith,"@ClaireBarrett no probs Claire, theres no hurry hope u ejoy your holiday - am sooo jealous ",no probs claire theres no hurry hope u ejoy your holiday   am sooo jealous
4,Alpha_Sam,@Wolfsamsgirl you will. we have till friday to think. ,you will we have till friday to think
0,joelleski,cvs is so slow ,cvs is so slow
4,hannah_grenade,"@miacupcake my boy has a girl  .. Rocky Launcher has a gf, Mile Heidi &lt;giggle&gt;",my boy has a girl  rocky launcher has a gf mile heidi &ltgiggle&gt
0,Whitney_ATL,@kteone I just don't agree  I'm at fuze having a great time,i just dont agree im at fuze having a great time
0,efie,Head hurts. ,head hurts
4,ims,@Sassycas  Thanks! I've been worried it sucked and no one wanted to tell me.,thanks ive been worried it sucked and no one wanted to tell me
0,KayeLacio,Our class is so boring ,our class is so boring
4,CeeGeeJewellery,@MadamSalami Thanks for the #followfriday ,thanks for the
4,Stamaria90,@catrinejensen couldn't agree more with that statement. We all heart Liv ,couldnt agree more with that statement we all heart liv
0,rad_rik,Is struggling with wrapping ,is struggling with wrapping
4,Demenyaca,"#haveyouever stole someone's Parking Permit out of their car, for stealing the park  you were waiting patiently for? I haven't either... ",stole someones parking permit out of their car for stealing the park you were waiting patiently for i havent either
0,PlugPulled,Sony not willing to give a infamous customer a beta ,sony not willing to give a infamous customer a beta
0,ilovegoobeck,@ilovedricoll me too. but im not even going to the concert ,me too but im not even going to the concert
0,SooPhresh,who woulda thot... me and jennie get back together? no way. haha. i guess im stuck? fuck me. ,who woulda thot me and jennie get back together no way haha i guess im stuck fuck me
0,MrGuilt,Current Computerworld mag has &quot;100 Best Places to Work in IT&quot; as the cover story. My company isn't on the list. ,current computerworld mag has &quot100 best places to work in it&quot as the cover story my company isnt on the list
0,katielovato,"listening to the pumpkings, smashing pumpkins that is (: need a new LOVE jacket;; mine went poof ",listening to the pumpkings smashing pumpkins that is  need a new love jacket mine went poof
0,jessievonjess,@cuthertobits yeah good one pal! why am i online so early?? i have to go to work earlier ARRRRGH ,yeah good one pal why am i online so early i have to go to work earlier arrrrgh
4,KevinFierce,The Star Trek movie was amazing! omg everyone has to go see it ,the star trek movie was amazing omg everyone has to go see it
0,cutelilplayette,Im having a few drinks with my one and only &lt;3 Im missing my Talhia ,im having a few drinks with my one and only &lt3 im missing my talhia
4,i_am_flawless,Hey @songzyuuup they both sound nice   (treysongz live &gt; http://ustre.am/2txz),hey they both sound nice treysongz live &gt 
4,wcollinstx,@BeckyPhillips would love your input.  ,would love your input
0,salbini81,Ferrari still not on good level to compete with the Brown Gp in Turkey ,ferrari still not on good level to compete with the brown gp in turkey
4,_JessicaLane_,New roommate gets 10 cool points for staying in and watching movies with me on a saturday night ,new roommate gets cool points for staying in and watching movies with me on a saturday night
4,LauraGuthrie,I woke up before my alarm... at 5:45am. Weird. Off to swim and then teach until noon! ,i woke up before my alarm at 45am weird off to swim and then teach until noon
4,RawHealer,"@SunshineBoat Ugh. It's even worse than mint. Took a shovel and hatchet to get it out. I knew better, but ignored myself. ",ugh its even worse than mint took a shovel and hatchet to get it out i knew better but ignored myself
0,micaelwidell,"@skathi I would recommend &quot;normal&quot; ADSL, like BBB. Usually faster than comhem in my experience. Comhem sucks ",i would recommend &quotnormal&quot adsl like bbb usually faster than comhem in my experience comhem sucks
4,TwiCapucine,"@anc_scorpio Yeah, the concert ticket is a B-day present from my big sis  So your birthday is in November??? When exactly??",yeah the concert ticket is a b day present from my big sis so your birthday is in november when exactly
4,Selinchn,wow.. tonight I'm going to a cool festival  .. i love it,wow tonight im going to a cool festival  i love it
4,cakespy,@deensie I think all the cookie cake pie needs to be awesomer is some of your ice cream on the side. ,i think all the cookie cake pie needs to be awesomer is some of your ice cream on the side
4,surferpam,everyone was so awesome!   cant help but call ourselves the 'miracle team'!! haha,everyone was so awesome cant help but call ourselves the miracle team haha
0,lastyearswishes,wtf is with google/gmail this morning? theyre not working for me. ,wtf is with google gmail this morning theyre not working for me
0,615Redbone,@rdwillis I kno thats right. Im all ghost in da face. But the sun's already leavn me... ,i kno thats right im all ghost in da face but the suns already leavn me
0,Vero5,"At work, wishing I could just walk out and get on a plane!! Maybe Hawaii, I've never been there ",at work wishing i could just walk out and get on a plane maybe hawaii ive never been there
4,sascha_search,By @testing1985 #-mazda ,by  mazda
0,Bianca_sweetie,@AerosolFiends lucky you! I would die for a Vicodin! Wisdom tooth is growing in ,lucky you i would die for a vicodin wisdom tooth is growing in
4,TheSUPERGIRL,"@recamel Amazon has them. I know you order books from amazon, so, try these, hehe ",amazon has them i know you order books from amazon so try these hehe
0,bejaedblost,@LOST_WFTB i'm gonna read everyone's tweets live but I prob won't have a thing to bring to the table cause I don't have my DVDs with me ,im gonna read everyones tweets live but i prob wont have a thing to bring to the table cause i dont have my dvds with me
4,chilp,Is @bling really an account managed by MicroSoft? Just wondering cause it's actually quite funny following...  #suprise #suprise,is really an account managed by microsoft just wondering cause its actually quite funny following
4,Twist1986,Psyched for the road trip this weekend ,psyched for the road trip this weekend
0,kwesterg,I wanna meet kenny chesney! ,i wanna meet kenny chesney
0,thatkkbitch,@AthenaS @leeluvsmychem I can't believe I went to bed early and missed both of you on here last night! ,i cant believe i went to bed early and missed both of you on here last night
4,lordmuttley,@freakycode nice one mate  thought outrun had you beat there.,nice one mate thought outrun had you beat there
4,Eviltweety88,Wimped out &amp; slept 4 a few hrs. Something about driving while sleeping  Beautiful day!,wimped out &amp slept a few hrs something about driving while sleeping beautiful day
4,hiranajam,@pleasefindthis million congratulations for making sense when almost nothing does ,million congratulations for making sense when almost nothing does
4,triicialynn,"there will be an answer, let it be.... Goodnight ",there will be an answer let it be goodnight
0,Yesi_chata41,The boss is back in town ,the boss is back in town
4,bustyb73,@Cezza_B thats what i should do make a list but itl be sooo long lol ..glad ur ok ,thats what i should do make a list but itl be sooo long lol glad ur ok
0,julienoodle,"when the painkillers stop working.. that sucks. My face hurts  AND I HAVE SWINE FLU, OK.",when the painkillers stop working that sucks my face hurts and i have swine flu ok
0,rum1t,@kpsofts That's the whole hassle. I have been trying to get the Presario F700 compatible with XP. But there are always driver conflicts. ,thats the whole hassle i have been trying to get the presario f700 compatible with xp but there are always driver conflicts
0,Karl_Izgi,@TomFelton I fell asleep on a train due to alcohol!! Missed my stop and had to pay 30 quid for a taxi  I know you know the feeling!! Haha,i fell asleep on a train due to alcohol missed my stop and had to pay quid for a taxi i know you know the feeling haha
4,kimsamie,But MAN is it a BEAUTIFUL morning in Palo Alto! ,but man is it a beautiful morning in palo alto
4,juliov27612,@cherimullins That's why flagging exists in DITA. ,thats why flagging exists in dita
0,linamarie7,"@DonnieWahlberg you should see Kingsville, Texas!!! Ok maybe not it's tiny!!!   but much love for ddub!!!",you should see kingsville texas ok maybe not its tiny but much love for ddub
4,amordejesus,Last sunday teaching ,last sunday teaching
4,quirky_sunshine,"Seattle, Scrubs, glitter, drunken texts (received, not sent) &amp; coffee cake. I like homework-free weekends. ",seattle scrubs glitter drunken texts received not sent &amp coffee cake i like homework free weekends
0,dinadina619,@leonnea crap. I just saw the chair. I would have totally gone for it. ,crap i just saw the chair i would have totally gone for it
4,JenniferMarriee,there's this little orange thing on my wrist. it looks just like a wristband.  i love it. tehheee. @jonasbrothers I shall see you in 6 !,theres this little orange thing on my wrist it looks just like a wristband i love it tehheee i shall see you in 
0,CharminDLeo,wants to go for a swim... too bad I don't have a pool   Good morning everyone!!,wants to go for a swim too bad i dont have a pool good morning everyone
4,Radt,@radcs when are you putting a photo up? ,when are you putting a photo up
4,SarahHopwood,WEIRD .. neighbours across the road share the same wedding anniversary as us - 25 years on May 5th - service 1 hour before us! Bazaar ,weird  neighbours across the road share the same wedding anniversary as us   years on may th   service hour before us bazaar
4,brampitoyo,@xolotl Happy birthday! Let�s not reveal who was the most venerable in the room ,happy birthday lets not reveal who was the most venerable in the room
4,traxylee,"@Violetlilly  You Can't stay. Forget My Name. Oops, I'm Sorry! She's My Sister! Ok, Yeah, Seriously...  Ok, I'm Done! For real this time! ",you cant stay forget my name oops im sorry shes my sister ok yeah seriously ok im done for real this time
0,woahitssarah,"you know its time for a new mattress when the springs are coming up and cutting you,.  booooooo.",you know its time for a new mattress when the springs are coming up and cutting you booooooo
0,Julesm2929,What's with the crappy weather? ,whats with the crappy weather
0,x_beki,up early to wait for a silly man to come round and fix something. dad forgot what time he said ,up early to wait for a silly man to come round and fix something dad forgot what time he said
4,jesspittman,"Had lots of fun tonight, thanks eleuteriuses and family! happy birthday forrest ",had lots of fun tonight thanks eleuteriuses and family happy birthday forrest
0,MissVix,@kweilo You should see my arm! ,you should see my arm
4,prettythinggs,@samanthamarie : omgawd u just said the magic words! Cheesecake would make my life right now! New mission ! , omgawd u just said the magic words cheesecake would make my life right now new mission 
0,ChristoAcosta,@JoannaAngel No word on the car? ,no word on the car
4,Listersmate,@lipodoc If I lived near you &amp; her in Texas I'd get onto her in a loving way for you. I think a lot of her. ,if i lived near you &amp her in texas id get onto her in a loving way for you i think a lot of her
0,phreshmentality,"@SweetP_xxx n thanks sweets, i will! argh i miss u mannnn can't wait till ur done!!!!! im goin bmth tomorro n none of u will be there! ",n thanks sweets i will argh i miss u mannnn cant wait till ur done im goin bmth tomorro n none of u will be there
4,sarking,@laraaine  YOU ARE LOVED.,you are loved
4,kerrystella,"Going to Southport today w/ dad &amp; Julie, taking my cameraaaa. ",going to southport today w  dad &amp julie taking my cameraaaa
0,DudeAsInCool,"Dreary, overcast weather in LA  ",dreary overcast weather in la
4,sstoneburner,"@jaziefizzle or else yo uwill have to become a dirty hippy and quit work and live in the woods, ",or else yo uwill have to become a dirty hippy and quit work and live in the woods
0,Taijitukaizen,I'm beat i wanna read all the posts from ppl but I'm just really spent  dis is it twittah l8ttah! ;),im beat i wanna read all the posts from ppl but im just really spent dis is it twittah l8ttah
4,podgypanda,@JaneYee isnt traffic fantastic &lt;insert sarcasm&gt; ,isnt traffic fantastic &ltinsert sarcasm&gt
0,macykint,This card looks so bad ,this card looks so bad
4,DeeRiley,"@nick_carter Never 2 much tea! Sweet dreams  love the new profile pic, definitely more like you!",never much tea sweet dreams love the new profile pic definitely more like you
4,You2Gov,Hmm guess this means I still have to work on it!   -- @you2gov got a grade of 99.90/100 on @grader.  http://twitter.grader.com/you2gov,hmm guess this means i still have to work on it    got a grade of  100 on 
